4,7,2,1,6,5,9,13
4,7,2,1,6,10,9,13
4,7,2,1,6,10,14,13
4,7,2,3,6,5,9,13
4,7,2,3,6,10,9,13
4,7,2,3,6,10,14,13
4,7,2,6,1,5,9,13
4,7,2,6,9,5,9,13
4,7,2,6,9,10,9,13
4,7,2,6,9,10,14,13
4,7,2,6,9,13,9,13
4,7,2,6,9,13,14,13
4,7,2,6,11,10,9,13
4,7,2,6,11,10,14,13
4,7,2,6,11,15,14,13
4,7,4,3,6,5,9,13
4,7,4,3,6,10,9,13
4,7,4,3,6,10,14,13
4,7,4,8,11,10,9,13
4,7,4,8,11,10,14,13
4,7,4,8,11,15,14,13
4,7,10,6,1,5,9,13
4,7,10,6,9,5,9,13
4,7,10,6,9,10,9,13
4,7,10,6,9,10,14,13
4,7,10,6,9,13,9,13
4,7,10,6,9,13,14,13
4,7,10,6,11,10,9,13
4,7,10,6,11,10,14,13
4,7,10,6,11,15,14,13
4,7,10,9,6,5,9,13
4,7,10,9,6,10,9,13
4,7,10,9,6,10,14,13
4,7,10,9,14,10,9,13
4,7,10,9,14,10,14,13
4,7,10,9,14,13,9,13
4,7,10,9,14,13,14,13
4,7,10,9,14,15,14,13
4,7,10,11,6,5,9,13
4,7,10,11,6,10,9,13
4,7,10,11,6,10,14,13
4,7,10,11,14,10,9,13
4,7,10,11,14,10,14,13
4,7,10,11,14,13,9,13
4,7,10,11,14,13,14,13
4,7,10,11,14,15,14,13
4,7,10,11,16,15,14,13
4,7,10,14,9,5,9,13
4,7,10,14,9,10,9,13
4,7,10,14,9,10,14,13
4,7,10,14,9,13,9,13
4,7,10,14,9,13,14,13
4,7,10,14,11,10,9,13
4,7,10,14,11,10,14,13
4,7,10,14,11,15,14,13
4,7,12,8,11,10,9,13
4,7,12,8,11,10,14,13
4,7,12,8,11,15,14,13
4,7,12,11,6,5,9,13
4,7,12,11,6,10,9,13
4,7,12,11,6,10,14,13
4,7,12,11,14,10,9,13
4,7,12,11,14,10,14,13
4,7,12,11,14,13,9,13
4,7,12,11,14,13,14,13
4,7,12,11,14,15,14,13
4,7,12,11,16,15,14,13
4,7,12,16,11,10,9,13
4,7,12,16,11,10,14,13
4,7,12,16,11,15,14,13
